ID,Category,Page/Component,Position,Priority,Width,Height,Orientation,Aspect Ratio,Prompt English,Prompt Vietnamese,Context/Description,Style Type,Mood,Colors,Format,Alt Text,File Name,Notes
ecosystem-tab-cooperative,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Hợp Tác Xã,HIGH,800,600,landscape,4:3,"Vietnamese cooperative farmers meeting, group discussion, community collaboration, rural development, agricultural planning, teamwork, modern farming cooperative, organized production, professional management, sustainable agriculture, natural light, clean simple background, hopeful atmosphere, unity and progress","Nông dân hợp tác xã Việt Nam họp mặt, thảo luận nhóm, hợp tác cộng đồng, phát triển nông thôn, lập kế hoạch nông nghiệp, làm việc nhóm, hợp tác xã nông nghiệp hiện đại, sản xuất có tổ chức, quản lý chuyên nghiệp","Tổ chức sản xuất quy mô lớn. Tăng sức mạnh thương lượng, Chia sẻ chi phí đầu vào, Đào tạo quản lý chuyên nghiệp, Truy cập thị trường xuất khẩu",photography,"collaborative, organized, professional","blue, cyan, white",webp,"Hợp Tác Xã - Sản xuất quy mô lớn",ecosystem-tab-cooperative.webp,
ecosystem-tab-investor,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Nhà Góp Vốn,HIGH,800,600,landscape,4:3,"Professional investor reviewing agricultural investment portfolio on tablet device with charts and graphs, modern office setting, business analysis, financial planning, sustainable agriculture investment, green economy, professional attire, confident expression","Nhà đầu tư chuyên nghiệp xem xét danh mục đầu tư nông nghiệp trên tablet với biểu đồ và đồ thị, môi trường văn phòng hiện đại, phân tích kinh doanh, hoạch định tài chính, đầu tư nông nghiệp bền vững","Đầu tư vào các dự án dược liệu sinh lời cao. Lợi nhuận bền vững, Chia cổ tức hàng quý, Mua sản phẩm giá ưu đãi, Quyền biểu quyết trong HTX",photography,"professional, confident, analytical","blue, gray, yellow",webp,"Nhà Góp Vốn & Đầu Tư",ecosystem-tab-investor.webp,
ecosystem-tab-enterprise,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Doanh Nghiệp,HIGH,800,600,landscape,4:3,"Modern pharmaceutical manufacturing facility, herbal medicine production, quality control laboratory, clean sterile environment, professional equipment, Vietnamese pharmaceutical company, high-tech processing, standardized production, quality assurance, natural ingredients, bright lighting, modern industrial design, clean simple background","Cơ sở sản xuất dược phẩm hiện đại, sản xuất thuốc thảo dược, phòng thí nghiệm kiểm soát chất lượng, môi trường sạch vô trùng, thiết bị chuyên nghiệp, công ty dược phẩm Việt Nam, chế biến công nghệ cao","Nguồn nguyên liệu sạch, ổn định và có thể truy xuất nguồn gốc. Nguyên liệu chuẩn VITA, Cung ứng ổn định quanh năm, Truy xuất nguồn gốc minh bạch",photography,"modern, clean, professional","white, blue, green",webp,"Doanh Nghiệp Dược Phẩm",ecosystem-tab-enterprise.webp,
ecosystem-tab-research,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Trung Tâm Gen,HIGH,800,600,landscape,4:3,"Modern biotechnology research laboratory, plant genetics study, scientists working with medicinal plants, DNA research, microscope analysis, clean lab environment, Vietnamese research center, advanced equipment, scientific innovation, green technology, bright professional lighting, modern facility, clean simple background","Phòng thí nghiệm công nghệ sinh học hiện đại, nghiên cứu di truyền thực vật, nhà khoa học làm việc với cây dược liệu, nghiên cứu DNA, phân tích kính hiển vi, môi trường phòng thí nghiệm sạch, trung tâm nghiên cứu Việt Nam","Nghiên cứu và phát triển giống dược liệu ưu việt. Giống cây chất lượng cao, Nghiên cứu khoa học ứng dụng, Chuyển giao công nghệ",photography,"scientific, innovative, modern","white, purple, indigo",webp,"Trung Tâm Nghiên Cứu Gen",ecosystem-tab-research.webp,
ecosystem-tab-physician,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Thầy Thuốc,HIGH,800,600,landscape,4:3,"Traditional Vietnamese medicine doctor examining patient, herbal medicine consultation, professional medical setting, traditional healing practice, medicinal herbs display, calm atmosphere, trusted healthcare, cultural medicine, natural remedies, doctor-patient interaction, warm lighting, clean clinic environment, simple background","Thầy thuốc đông y Việt Nam khám bệnh cho bệnh nhân, tư vấn thuốc thảo dược, môi trường y tế chuyên nghiệp, thực hành chữa bệnh truyền thống, trưng bày dược liệu, không khí yên tĩnh, chăm sóc sức khỏe đáng tin cậy","Nguồn dược liệu sạch, dược tính cao. Dược liệu chuẩn VITA, Dược tính cao hiệu quả tốt, Minh bạch nguồn gốc, Hỗ trợ thanh toán BHYT",photography,"calm, trustworthy, traditional","teal, emerald, brown",webp,"Thầy Thuốc & Bệnh Viện Đông Y",ecosystem-tab-physician.webp,
ecosystem-tab-investor-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Investor Portal,MEDIUM,800,600,landscape,4:3,"Professional investor relations meeting, handshake, business partnership, financial charts dashboard on screens, modern conference room, venture capital, angel investor, startup funding, IPO valuation, cap table presentation, professional attire, confident expression, successful negotiation","Cuộc họp quan hệ nhà đầu tư chuyên nghiệp, bắt tay, đối tác kinh doanh, dashboard biểu đồ tài chính trên màn hình, phòng họp hiện đại, vốn mạo hiểm, nhà đầu tư thiên thần, tài trợ startup, định giá IPO","Virtual Data Room, Valuation Simulator, Lộ trình IPO, Cap Table, Báo cáo IR",photography,"professional, confident, successful","blue, gray, emerald",webp,"Cổng Quan hệ Nhà đầu tư",ecosystem-tab-investor-portal.webp,
ecosystem-tab-esg-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - ESG Portal,MEDIUM,800,600,landscape,4:3,"ESG environmental social governance, green leaf symbol, sustainable forestry project, carbon credits, impact investment dashboard, environmental monitoring, green finance, corporate sustainability, renewable energy, climate action, professional presentation, modern office, clean background","ESG môi trường xã hội quản trị, biểu tượng lá xanh, dự án lâm nghiệp bền vững, tín chỉ carbon, dashboard đầu tư tác động, giám sát môi trường, tài chính xanh","Sàn đầu tư Tác động - Kết nối dòng vốn ESG với các dự án trồng rừng bền vững, Tín chỉ Carbon",illustration,"green, sustainable, impactful","green, emerald, teal",webp,"Cổng Đầu tư ESG",ecosystem-tab-esg-portal.webp,
ecosystem-tab-timber-trading,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Timber Trading,MEDIUM,800,600,landscape,4:3,"Modern office building wood trading company, timber commodity futures, forestry management, sustainable logging, FSC certified wood, supply chain, professional business environment, charts graphs, growth trends, financial dashboard","Tòa nhà văn phòng hiện đại công ty giao dịch gỗ, tương lai hàng hóa gỗ, quản lý lâm nghiệp, khai thác gỗ bền vững, gỗ chứng nhận FSC, chuỗi cung ứng","Đặt hàng rừng trồng tương lai, Chứng chỉ FSC/PEFC, Tính toán hiệu suất, Kế hoạch khai thác bền vững",photography,"professional, sustainable, organized","amber, orange, brown",webp,"Cổng Giao dịch Gỗ Nguyên liệu",ecosystem-tab-timber-trading.webp,
ecosystem-tab-forestry,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Forestry,MEDIUM,800,600,landscape,4:3,"Agroforestry system multi-layer canopy forest Vietnamese highlands, medicinal plants growing underneath tall trees, sustainable forestry management, shade-grown agriculture, biodiversity conservation, lush green forest landscape, professional forestry management","Hệ thống nông lâm kết hợp đa tầng tán rừng vùng cao Việt Nam, cây dược liệu mọc dưới cây cao, quản lý lâm nghiệp bền vững, canh tác dưới tán, bảo tồn đa dạng sinh học","Quản lý Hệ sinh thái Đa tầng tán - Rừng gỗ lớn che bóng cho dược liệu. Kiến Trúc Sư Rừng, AI đo độ che phủ",photography,"sustainable, layered, organized","green, emerald, brown",webp,"Bộ Tiêu chuẩn & Công cụ Lâm sinh",ecosystem-tab-forestry.webp,
ecosystem-tab-expert-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Expert Portal,MEDIUM,800,600,landscape,4:3,"Professional agricultural expert scientist consulting with tablet device, remote video call farmers, using augmented reality tools, digital prescription system, knowledge sharing platform, modern technology, agricultural advice, clean professional setting, white coat","Chuyên gia nông nghiệp chuyên nghiệp tư vấn với tablet, video call từ xa với nông dân, sử dụng công cụ thực tế tăng cường, hệ thống kê đơn số, nền tảng chia sẻ kiến thức, công nghệ hiện đại","Tư vấn kỹ thuật từ xa, kê đơn số, bán quy trình SOP, nhận thù lao minh bạch",photography,"professional, modern, helpful","pink, rose, white",webp,"VITA EXPERT HUB",ecosystem-tab-expert-portal.webp,
ecosystem-tab-gov-portal,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - GOV Portal,MEDIUM,800,600,landscape,4:3,"Vietnamese commune government office, administrative building, justice scales symbol, digital dashboard, sustainable rural development, monitoring economic growth, social welfare, agricultural management, professional government setting, modern technology, clean background","Văn phòng chính quyền xã Việt Nam, tòa nhà hành chính, biểu tượng cán cân công lý, dashboard số, phát triển nông thôn bền vững, giám sát tăng trưởng kinh tế, phúc lợi xã hội","Cổng quản trị số dành cho chính quyền cơ sở (Xã). Giám sát kinh tế - xã hội, quản lý quy hoạch đất đai",photography,"official, modern, trustworthy","blue, indigo, white",webp,"VITA GOV PORTAL",ecosystem-tab-gov-portal.webp,
ecosystem-tab-creator-hub,ecosystem-tabs,src/pages/landing/page.tsx,Ecosystem Tab - Creator Hub,MEDIUM,800,600,landscape,4:3,"Social media content creator influencer KOL KOC working with laptop, video editing, microphone, camera, social media icons, agricultural products, medicinal herbs, content creation, marketing, affiliate, modern creative workspace, YouTube Instagram","Người sáng tạo nội dung mạng xã hội KOL KOC làm việc với laptop, chỉnh sửa video, micro, camera, biểu tượng mạng xã hội, sản phẩm nông nghiệp, dược liệu, sáng tạo nội dung, marketing","Cổng làm việc dành cho KOL/KOC. Kho Tài nguyên Số, Chiến dịch Marketing, Affiliate & Livestream, Booking Vườn",photography,"creative, modern, vibrant","purple, pink, rose",webp,"VITA CREATOR HUB",ecosystem-tab-creator-hub.webp,
coop-cover-mang-ri,cooperatives,src/data/cooperatives.ts,HTX Măng Ri Cover,HIGH,1200,600,landscape,2:1,"Vietnamese highland forest cooperative mountain landscape, lush green forest, traditional village, sustainable agriculture, herbal medicine cultivation, natural beauty, serene peaceful rural Vietnam, Kon Tum province, highland terrain","Hợp tác xã rừng vùng cao Việt Nam, cảnh quan núi, rừng xanh tươi tốt, làng truyền thống, nông nghiệp bền vững, canh tác dược liệu, vẻ đẹp tự nhiên, nông thôn yên bình Việt Nam, tỉnh Kon Tum","HTX Rừng Dược Sinh Măng Ri - 245 ha rừng dược liệu, 187 thành viên, chuyên Sâm Ngọc Linh, Đương Quy, Ba Kích tím",photography,"serene, natural, cooperative","green, emerald, brown",webp,"HTX Rừng Dược Sinh Măng Ri",coop-cover-mang-ri.webp,
coop-cover-tay-nguyen,cooperatives,src/data/cooperatives.ts,HTX Tây Nguyên Cover,HIGH,1200,600,landscape,2:1,"Vietnamese Central Highlands cooperative herbal medicine farm, mountain terrace agriculture, sustainable farming, green landscape, Kon Tum province","Hợp tác xã dược liệu Tây Nguyên Việt Nam, nông trại dược liệu, canh tác ruộng bậc thang núi, nông nghiệp bền vững","HTX Dược Liệu Tây Nguyên - 320 ha, 245 thành viên, ứng dụng IoT và blockchain",photography,"modern, technological, sustainable","green, blue, teal",webp,"HTX Dược Liệu Tây Nguyên",coop-cover-tay-nguyen.webp,
product-sam-ngoc-linh,products,src/data/cooperatives.ts,Product - Sâm Ngọc Linh,HIGH,400,400,square,1:1,"Fresh Vietnamese ginseng root Ngoc Linh, premium quality, organic, natural, white background, product photography, high quality, detailed, professional lighting, showing texture and quality","Củ sâm Ngọc Linh Việt Nam tươi, chất lượng cao, hữu cơ, tự nhiên, nền trắng, chụp sản phẩm, chất lượng cao, chi tiết, ánh sáng chuyên nghiệp","Sâm Ngọc Linh 5-7 năm tuổi, trồng hữu cơ tại vùng núi Kon Tum, hàm lượng saponin cao",photography,"premium, natural, clean","white, beige, brown",webp,"Sâm Ngọc Linh củ tươi",product-sam-ngoc-linh.webp,"Product image cho marketplace và HTX landing pages"
product-duong-quy,products,src/data/cooperatives.ts,Product - Đương Quy,HIGH,400,400,square,1:1,"Dried angelica root herbal medicine, traditional Vietnamese medicine, natural organic, white background, product photography, high quality","Đương Quy khô, thuốc thảo dược, y học cổ truyền Việt Nam, tự nhiên hữu cơ, nền trắng","Đương Quy sấy khô tự nhiên, giữ nguyên dược tính, đóng gói kín",photography,"natural, traditional, clean","white, brown, beige",webp,"Đương Quy khô",product-duong-quy.webp,
product-ba-kich,products,src/data/cooperatives.ts,Product - Ba Kích tím,HIGH,400,400,square,1:1,"Fresh purple morinda root, Vietnamese herbal medicine, natural organic, product photography, white background","Ba Kích tím tươi, thuốc thảo dược Việt Nam, tự nhiên hữu cơ","Ba Kích tím tươi, thu hoạch đúng độ tuổi, chất lượng cao",photography,"natural, fresh, clean","white, purple, brown",webp,"Ba Kích tím tươi",product-ba-kich.webp,
tourism-tour-sam,tourism,src/data/cooperatives.ts,Tourism - Tour Sâm,MEDIUM,600,400,landscape,3:2,"Vietnamese ginseng farm tour, visitors walking through herbal garden, mountain landscape, eco tourism, sustainable agriculture, group of people exploring, educational experience","Tour tham quan vườn sâm Việt Nam, du khách đi bộ qua vườn dược liệu, cảnh quan núi, du lịch sinh thái","Tour Tham quan Vườn Sâm Ngọc Linh - 3 giờ, tham quan vườn, tìm hiểu quy trình, thưởng thức trà sâm",photography,"educational, enjoyable, natural","green, brown, blue (sky)",webp,"Tour Tham quan Vườn Sâm Ngọc Linh",tourism-tour-sam.webp,
tourism-homestay,tourism,src/data/cooperatives.ts,Tourism - Homestay,MEDIUM,600,400,landscape,3:2,"Vietnamese highland homestay, traditional wooden house, mountain view, eco tourism, sustainable tourism, peaceful serene, authentic rural accommodation","Homestay vùng cao Việt Nam, nhà gỗ truyền thống, view núi, du lịch sinh thái, yên bình","Homestay Rừng Dược Sinh - 1 đêm, nghỉ dưỡng tại homestay truyền thống, không khí trong lành",photography,"peaceful, traditional, serene","brown, green, blue (sky)",webp,"Homestay Rừng Dược Sinh",tourism-homestay.webp,
tourism-experience,tourism,src/data/cooperatives.ts,Tourism - Experience,MEDIUM,600,400,landscape,3:2,"Hands harvesting herbal plants, Vietnamese farmers, traditional agriculture, sustainable farming, eco friendly, learning experience, hands-on activity","Tay thu hoạch cây dược liệu, nông dân Việt Nam, nông nghiệp truyền thống, canh tác bền vững","Trải nghiệm Thu hoạch Dược liệu - 2 giờ, tham gia thu hoạch cùng nông dân, học cách nhận biết và chế biến",photography,"educational, hands-on, authentic","green, brown, earth tones",webp,"Trải nghiệm Thu hoạch Dược liệu",tourism-experience.webp,
coop-marketplace-htx-sin-ho,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Sìn Hồ,HIGH,800,500,landscape,8:5,"Aerial view of vast ginseng plantation in misty mountains, terraced fields, organic farming, northern Vietnam highlands, lush green landscape, sustainable agriculture, morning fog, rolling hills, traditional medicinal herb cultivation","Góc nhìn từ trên không của đồn điền sâm rộng lớn trên núi sương mù, ruộng bậc thang, canh tác hữu cơ, vùng cao miền Bắc Việt Nam","HTX Dược Liệu Hữu Cơ Sìn Hồ - Tây Bắc, 500 ha, 1200 thành viên, lợi tức 18%/năm",photography,"vast, impressive, misty","green, gray (mist), blue (sky)",webp,"HTX Dược Liệu Hữu Cơ Sìn Hồ",coop-marketplace-htx-sin-ho.webp,
coop-marketplace-htx-kon-tum,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Kon Tum,HIGH,800,500,landscape,8:5,"Panoramic drone shot of highland medicinal herb farm, central highlands Vietnam, organized cultivation rows, modern greenhouse structures, mountain backdrop, blue sky, professional organic farming cooperative","Ảnh drone toàn cảnh nông trại dược liệu vùng cao, Tây Nguyên Việt Nam, hàng canh tác có tổ chức, nhà kính hiện đại, nền núi, bầu trời xanh","HTX Dược Liệu Kon Tum - Tây Nguyên, 350 ha, 850 thành viên",photography,"organized, modern, professional","green, blue, white",webp,"HTX Dược Liệu Kon Tum",coop-marketplace-htx-kon-tum.webp,
coop-marketplace-htx-lam-dong,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Lâm Đồng,HIGH,800,500,landscape,8:5,"Beautiful aerial view of angelica herb plantation, Lam Dong province Vietnam, neat cultivation beds, irrigation system, pine forest surrounding, cool climate agriculture, sustainable farming cooperative","Góc nhìn từ trên không đẹp của đồn điền đương quy, tỉnh Lâm Đồng Việt Nam, luống canh tác gọn gàng, hệ thống tưới tiêu, rừng thông bao quanh","HTX Dược Liệu Lâm Đồng - Tây Nguyên, chuyên Đương Quy, 280 ha, 620 thành viên",photography,"neat, organized, cool","green, blue, brown",webp,"HTX Dược Liệu Lâm Đồng",coop-marketplace-htx-lam-dong.webp,
coop-marketplace-htx-da-lat,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Đà Lạt,HIGH,800,500,landscape,8:5,"Modern organic medicinal herb greenhouse complex, Da Lat Vietnam, high tech agriculture, controlled environment, clean cultivation rows of medicinal plants, professional farming facility, mountain valley setting","Khu nhà kính dược liệu hữu cơ hiện đại, Đà Lạt Việt Nam, nông nghiệp công nghệ cao, môi trường kiểm soát, hàng canh tác sạch","HTX Nông Nghiệp Sạch Đà Lạt - 420 ha, 980 thành viên, công nghệ cao",photography,"modern, high-tech, clean","green, white, blue",webp,"HTX Nông Nghiệp Sạch Đà Lạt",coop-marketplace-htx-da-lat.webp,
coop-marketplace-htx-tay-nguyen-research,cooperatives,src/pages/coop-marketplace/page.tsx,Marketplace - HTX Tây Nguyên Research,HIGH,800,500,landscape,8:5,"Research facility and nursery for medicinal plants, central highlands Vietnam, modern laboratory building, experimental cultivation plots, seedling greenhouse, scientific agriculture innovation center, professional setup","Cơ sở nghiên cứu và vườn ươm cho cây dược liệu, Tây Nguyên Việt Nam, tòa nhà phòng thí nghiệm hiện đại, ô canh tác thử nghiệm, nhà kính cây giống","HTX Khoa Học Dược Liệu Tây Nguyên - Nghiên cứu & Ươm giống, 150 ha, 320 thành viên",photography,"scientific, modern, innovative","white, green, blue",webp,"HTX Khoa Học Dược Liệu Tây Nguyên",coop-marketplace-htx-tay-nguyen-research.webp,
